[ENTITY]
#class_id x y hp
[SECTION]
#section_id top left bottom right
1328 0 1554 256
1328 256 1554 512
1328 512 1554 768
1328 768 1554 1024
1328 1024 1554 1280
1328 1280 1554 1536
1072 0 1298 256
1072 256 1298 512
1072 512 1298 768
1072 768 1298 1024
1072 1024 1298 1280
1072 1280 1298 1536
816 0 1042 256
816 256 1042 512
816 512 1042 768
816 768 1042 1024
816 1024 1042 1280
816 1280 1042 1536
560 0 786 256
560 256 786 512
560 512 786 768
560 768 786 1024
560 1024 786 1280
304 0 530 256
304 256 530 512
304 512 530 768
304 768 530 1024
304 1024 530 1280
48 768 274 1024
#29
32 1584 304 2112
32 2128 560 2624
#
32 2672 528 2912
752 1600 1280 2160
#
1008 2176 1280 2416
[PORTAL]
#x y w h lx ly section_id_start section_id
224 1424 16 32 64 0 0 1
272 1424 16 32 -64 0 1 0
480 1424 16 32 64 0 1 2
528 1424 16 32 -64 0 2 1
736 1424 16 32 64 0 2 3
784 1424 16 32 -64 0 3 2
992 1424 16 32 64 0 3 4
1040 1424 16 32 -64 0 4 3
1248 1424 16 32 64 0 4 5
1296 1424 16 32 -64 0 5 4
#
368 1328 32 16 0 -64 1 7
368 1280 32 16 0 64 7 1
624 1328 32 16 0 -64 2 8
624 1280 32 16 0 64 8 2
880 1328 32 16 0 -64 3 9
880 1280 32 16 0 64 9 3
#
224 1168 16 32 64 0 6 7
272 1168 16 32 -64 0 7 6 
992 1168 16 32 64 0 9 10
1040 1168 16 32 -64 0 10 9
1248 1168 16 32 64 0 10 11
1296 1168 16 32 -64 0 11 10
# fixme
112 1072 32 16 0 -64 6 12
112 1024 32 16 0 64 12 6
624 1072 32 16 0 -64 8 14
624 1024 32 16 0 64 14 8
1392 1072 32 16 0 -64 11 17
1392 1024 32 16 0 64 17 11
#
480 912 16 32 64 0 13 14    
528 912 16 32 -64 0 14 13
736 912 16 32 64 0 14 15
784 912 16 32 -64 0 15 14
992 912 16 32 64 0 15 16
1056 912 16 32 -64 0 16 15
#
368 816 32 16 0 -64 13 19
368 768 32 16 0 64 19 13
624 816 32 16 0 -64 14 20 
624 768 32 16 0 64 20 14 
880 816 32 16 0 -64 15 21
880 768 32 16 0 64 21 15
1136 816 32 16 0 -64 16 22
1136 768 32 16 0 64 22 16
#
224 656 16 32 64 0 18 19
272 656 16 32 -64 0 19 18
#
112 560 32 16 0 -64 18 23
112 512 32 16 0 64 23 18
624 560 32 16 0 -64 20 25
624 512 32 16 0 64 25 20
1136 560 32 16 0 -64 22 26
1136 512 32 16 0 64 26 22
#
224 400 16 32 64 0 23 24
272 400 16 32 -64 0 24 23
480 400 16 32 64 0 24 25
528 400 16 32 -64 0 25 24
736 400 16 32 64 0 25 26
784 400 16 32 -64 0 26 25
#
880 304 32 16 0 -64 26 28
880 256 32 16 0 64 28 26
# 2144 1152 16 32 64 32 33
# 2192 1152 16 32 -64 33 32
# 2096 176 16 32 64 29 30
# 2144 176 16 32 -64 30 29
